order_id,product_id,product_name,customer_id,quantity,price,order_date
O000001,P035,Webcam 035,C0473,1,90000,2025-02-03
O000002,P191,Power Bank 191,C0637,3,117000,2025-03-12
O000003,P073,Tablet Case 073,C0863,3,320000,2025-03-19
O000004,P053,Power Bank 053,C2598,3,83000,2025-03-29
O000005,P130,USB-C Cable 130,C1029,1,99000,2025-03-04
O000006,P024,Power Bank 024,C1735,3,463000,2025-03-23
O000007,P012,Office Chair 012,C1367,2,264000,2025-01-01
O000008,P164,Monitor 24 inch 164,C0662,4,79000,2025-02-03
O000009,P142,Gaming Headset 142,C1752,5,192000,2025-04-01
O000010,P003,Smart Watch 003,C0309,2,121000,2025-01-15
O000011,P140,Office Chair 140,C1513,5,279000,2025-01-05
O000012,P142,Gaming Headset 142,C1761,2,192000,2025-01-19
O000013,P011,Office Chair 011,C1494,1,151000,2025-02-09
O000014,P092,Microphone 092,C2794,2,215000,2025-01-27
O000015,P171,Microphone 171,C1449,5,84000,2025-01-14
O000016,P105,HDMI Cable 105,C0634,2,496000,2025-03-21
O000017,P042,Power Bank 042,C0726,4,409000,2025-04-13
O000018,P007,Mechanical Keyboard 007,C1361,4,65000,2025-01-23
O000019,P172,Smart Watch 172,C1017,3,256000,2025-04-21
O000020,P041,Portable SSD 041,C2873,1,393000,2025-04-11
O000021,P098,Bluetooth Speaker 098,C0159,4,424000,2025-04-22
O000022,P057,Tablet Case 057,C1886,3,123000,2025-01-26
O000023,P079,Monitor 24 inch 079,C0933,2,107000,2025-04-16
O000024,P007,Mechanical Keyboard 007,C0792,4,65000,2025-03-26
O000025,P085,USB-C Cable 085,C0285,3,495000,2025-02-05
O000026,P090,Gaming Headset 090,C2087,4,326000,2025-03-24
O000027,P174,Smart Watch 174,C2197,3,346000,2025-04-18
O000028,P008,Bluetooth Speaker 008,C1070,2,161000,2025-01-15
O000029,P149,Smart Watch 149,C0157,1,135000,2025-02-03
O000030,P153,Gaming Headset 153,C1416,3,244000,2025-02-25
O000031,P112,USB-C Cable 112,C2095,1,176000,2025-03-19
O000032,P099,Phone Case 099,C2362,2,467000,2025-04-26
O000033,P066,Phone Case 066,C2904,4,96000,2025-01-06
O000034,P001,USB-C Cable 001,C2206,2,62000,2025-03-08
O000035,P094,USB-C Cable 094,C0287,3,235000,2025-02-25
O000036,P160,Portable SSD 160,C2718,1,201000,2025-02-10
O000037,P185,Monitor 24 inch 185,C1231,5,434000,2025-04-26
O000038,P080,Webcam 080,C1673,3,272000,2025-03-27
O000039,P104,Gaming Headset 104,C1212,5,185000,2025-03-31
O000040,P033,Bluetooth Speaker 033,C1723,4,73000,2025-01-25
O000041,P174,Smart Watch 174,C0713,5,346000,2025-04-06
O000042,P146,Mechanical Keyboard 146,C1664,5,383000,2025-02-08
O000043,P001,USB-C Cable 001,C1176,2,62000,2025-02-08
O000044,P111,HDMI Cable 111,C2376,5,281000,2025-04-11
O000045,P168,Mechanical Keyboard 168,C1905,4,310000,2025-02-11
O000046,P114,Monitor 24 inch 114,C0876,5,60000,2025-03-28
O000047,P122,HDMI Cable 122,C0696,1,171000,2025-04-12
O000048,P073,Tablet Case 073,C2720,5,320000,2025-03-07
O000049,P086,Webcam 086,C0963,3,480000,2025-01-12
O000050,P058,Power Bank 058,C0816,2,121000,2025-04-14
O000051,P007,Mechanical Keyboard 007,C1003,4,65000,2025-01-06
O000052,P157,Wireless Charger 157,C0299,4,406000,2025-04-19
O000053,P107,Portable SSD 107,C2580,5,326000,2025-04-24
O000054,P050,Mechanical Keyboard 050,C2853,4,167000,2025-04-02
O000055,P127,Phone Case 127,C1000,2,174000,2025-02-21
O000056,P168,Mechanical Keyboard 168,C0023,1,310000,2025-03-30
O000057,P200,USB-C Cable 200,C0897,2,499000,2025-02-24
O000058,P179,HDMI Cable 179,C1903,1,211000,2025-03-08
O000059,P143,Tablet Case 143,C0498,4,177000,2025-02-01
O000060,P035,Webcam 035,C1904,5,90000,2025-04-13
O000061,P144,Bluetooth Speaker 144,C1300,4,276000,2025-03-18
O000062,P157,Wireless Charger 157,C2947,5,406000,2025-04-15
O000063,P110,Monitor 27 inch 110,C2245,4,274000,2025-04-17
O000064,P041,Portable SSD 041,C1945,4,393000,2025-04-06
O000065,P067,Mechanical Keyboard 067,C1013,3,490000,2025-04-07
O000066,P197,Webcam 197,C2136,4,363000,2025-04-10
O000067,P161,Portable SSD 161,C1125,4,79000,2025-01-31
O000068,P020,Monitor 24 inch 020,C1171,2,102000,2025-04-02
O000069,P070,Wireless Charger 070,C1310,5,355000,2025-02-12
O000070,P021,Bluetooth Speaker 021,C0618,2,244000,2025-01-18
O000071,P099,Phone Case 099,C0626,2,467000,2025-03-30
O000072,P017,Wireless Charger 017,C1670,3,224000,2025-02-23
O000073,P139,Portable SSD 139,C1704,1,147000,2025-03-01
O000074,P053,Power Bank 053,C1721,4,83000,2025-04-17
O000075,P198,HDMI Cable 198,C2849,1,54000,2025-03-16
O000076,P196,Office Chair 196,C1559,4,410000,2025-03-15
O000077,P002,Power Bank 002,C1441,3,175000,2025-05-01
O000078,P193,Smart Watch 193,C1717,5,239000,2025-02-19
O000079,P192,Monitor 27 inch 192,C2237,5,85000,2025-04-05
O000080,P057,Tablet Case 057,C0899,3,123000,2025-03-04
O000081,P112,USB-C Cable 112,C0119,4,176000,2025-03-04
O000082,P087,HDMI Cable 087,C2782,4,361000,2025-03-27
O000083,P186,Bluetooth Speaker 186,C1915,2,54000,2025-01-22
O000084,P160,Portable SSD 160,C0111,4,201000,2025-03-10
O000085,P152,External HDD 152,C2716,1,80000,2025-03-14
O000086,P022,USB-C Cable 022,C1756,2,233000,2025-03-24
O000087,P119,Mechanical Keyboard 119,C0206,3,167000,2025-01-24
O000088,P098,Bluetooth Speaker 098,C0867,4,424000,2025-02-11
O000089,P084,Gaming Headset 084,C1553,3,309000,2025-02-13
O000090,P193,Smart Watch 193,C1727,3,239000,2025-04-17
O000091,P021,Bluetooth Speaker 021,C0080,5,244000,2025-03-02
O000092,P014,Desk Lamp 014,C0919,1,192000,2025-02-14
O000093,P200,USB-C Cable 200,C0165,1,499000,2025-03-25
O000094,P064,Monitor 27 inch 064,C0084,5,162000,2025-01-26
O000095,P040,Monitor 27 inch 040,C0518,4,231000,2025-01-31
O000096,P172,Smart Watch 172,C2311,2,256000,2025-01-15
O000097,P120,Bluetooth Speaker 120,C1050,3,66000,2025-03-31
O000098,P043,Bluetooth Speaker 043,C2488,1,361000,2025-03-19
O000099,P200,USB-C Cable 200,C0671,3,499000,2025-04-15
O000100,P028,Bluetooth Speaker 028,C0106,3,332000,2025-03-16
O000101,P148,Wireless Mouse 148,C1538,4,97000,2025-03-28
O000102,P184,Webcam 184,C0312,5,284000,2025-01-26
O000103,P177,Wireless Charger 177,C2570,2,386000,2025-04-17
O000104,P027,USB-C Cable 027,C1236,5,243000,2025-03-31
O000105,P031,Monitor 27 inch 031,C2319,1,345000,2025-04-12
O000106,P089,Monitor 27 inch 089,C1755,3,440000,2025-03-10
O000107,P018,Power Bank 018,C2653,3,129000,2025-03-06
O000108,P004,USB-C Cable 004,C1721,4,396000,2025-04-19
O000109,P028,Bluetooth Speaker 028,C1484,4,332000,2025-02-25
O000110,P182,Power Bank 182,C1784,2,252000,2025-01-20
O000111,P188,Desk Lamp 188,C2665,3,101000,2025-03-08
O000112,P158,Office Chair 158,C2205,4,388000,2025-04-14
O000113,P120,Bluetooth Speaker 120,C2995,5,66000,2025-02-25
O000114,P069,Gaming Headset 069,C1006,1,455000,2025-02-11
O000115,P072,External HDD 072,C1847,2,355000,2025-04-23
O000116,P193,Smart Watch 193,C2335,5,239000,2025-03-01
O000117,P172,Smart Watch 172,C1378,1,256000,2025-02-18
O000118,P127,Phone Case 127,C1332,2,174000,2025-04-19
O000119,P125,Office Chair 125,C1454,3,117000,2025-01-28
O000120,P088,Portable SSD 088,C2442,3,128000,2025-02-05
O000121,P143,Tablet Case 143,C2117,2,177000,2025-01-02
O000122,P022,USB-C Cable 022,C2950,4,233000,2025-01-31
O000123,P126,Desk Lamp 126,C0985,4,345000,2025-03-13
O000124,P166,Phone Case 166,C2011,4,307000,2025-04-02
O000125,P005,Office Chair 005,C1206,2,94000,2025-01-12
O000126,P104,Gaming Headset 104,C0997,3,185000,2025-03-30
O000127,P170,Gaming Headset 170,C1512,4,85000,2025-03-16
